0.5	60	30
0.6	60	10
0.7	60	10
0.8	60	10
0.9	60	10
1	60	10
1.1	60	10
1.2	60	10
1.3	60	10
1.4	60	10
1.5	60	10
1.6	60	10
1.7	60	10
1.8	60	10
1.9	60	10
2	60	10
2.1	60	10
2.2	60	10
2.3	60	10
2.4	60	10
2.5	60	10
2.6	60	10
2.7	60	10
2.8	60	10
2.9	60	10
3	60	10
3.1	60	10
3.2	60	10
3.3	60	10
3.4	60	10
3.5	60	10
3.6	60	10
3.7	60	10
3.8	60	10
3.9	60	10
4	60	10
4.1	60	10
4.2	60	10
4.3	60	10
4.4	60	10
4.5	60	10
4.6	60	10
4.7	60	10
4.8	60	10
4.9	60	10
5	60	10
5.1	60	10
5.2	60	10
5.3	60	10
5.4	60	10
5.5	60	10
5.6	60	10
5.7	60	10
5.8	60	10
5.9	60	10
6	60	10
6.1	60	10
6.2	60	10
6.3	60	10
6.4	60	10
6.5	60	10
6.6	60	10
6.7	60	10
6.8	60	10
6.9	60	10
7	60	10
7.1	60	10
7.2	60	10
7.3	60	10
7.4	60	10
7.5	60	10
7.6	60	10
7.7	60	10
7.8	60	10
7.9	60	10
8	60	10
8.1	60	10
8.2	60	10
8.3	60	10
8.4	60	10
8.5	60	10
8.6	60	10
8.7	60	10
8.8	60	10
8.9	60	10
9	60	10
9.1	60	10
9.2	60	10
9.3	60	10
9.4	60	10
9.5	60	10
9.6	60	10
9.7	60	10
9.8	60	10
9.9	60	10
10	60	10
10.1	60	10
10.2	60	10
